"row ID","sub","http://purl.org/dc/terms/created+First(obj)","http://purl.org/dc/terms/creator+First(obj)","http://purl.org/dc/terms/title+First(obj)","http://www.openannotation.org/ns/hasBody+First(obj)","http://www.openannotation.org/ns/hasTarget+First(obj)","http://www.w3.org/1999/02/22-rdf-syntax-ns#type+First(obj)"
"Row53","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#58","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.143","http://pleiades.stoa.org/places/678106#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.143","http://www.openannotation.org/ns/Annotation"
"Row54","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#59","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.158","http://pleiades.stoa.org/places/678106#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.158","http://www.openannotation.org/ns/Annotation"
"Row55","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#6","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.143","http://pleiades.stoa.org/places/614824#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.143","http://www.openannotation.org/ns/Annotation"
"Row56","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#60","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.158","http://pleiades.stoa.org/places/678106#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.158","http://www.openannotation.org/ns/Annotation"
"Row57","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#61","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.158","http://pleiades.stoa.org/places/678106#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.158","http://www.openannotation.org/ns/Annotation"
"Row58","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#62","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.176","http://pleiades.stoa.org/places/678106#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.176","http://www.openannotation.org/ns/Annotation"
"Row59","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#63","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.10","http://pleiades.stoa.org/places/60406#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.10","http://www.openannotation.org/ns/Annotation"
"Row60","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#64","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.10","http://pleiades.stoa.org/places/727070#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.10","http://www.openannotation.org/ns/Annotation"
"Row61","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#65","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.10","http://pleiades.stoa.org/places/876562#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.10","http://www.openannotation.org/ns/Annotation"
"Row62","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#66","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.10","http://pleiades.stoa.org/places/60410#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.10","http://www.openannotation.org/ns/Annotation"
"Row63","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#67","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.10","http://pleiades.stoa.org/places/60409#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.10","http://www.openannotation.org/ns/Annotation"
"Row64","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#68","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.143","http://pleiades.stoa.org/places/893945#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.143","http://www.openannotation.org/ns/Annotation"
"Row65","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#69","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.238","http://pleiades.stoa.org/places/893945#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.238","http://www.openannotation.org/ns/Annotation"
"Row66","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#7","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.148","http://pleiades.stoa.org/places/275696#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.148","http://www.openannotation.org/ns/Annotation"
"Row67","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#70","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.148","http://pleiades.stoa.org/places/541138#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.148","http://www.openannotation.org/ns/Annotation"
"Row68","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#71","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 11.304","http://pleiades.stoa.org/places/494603#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:11.304","http://www.openannotation.org/ns/Annotation"
"Row69","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#72","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 14.377","http://pleiades.stoa.org/places/494603#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:14.377","http://www.openannotation.org/ns/Annotation"
"Row70","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#73","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.115","http://pleiades.stoa.org/places/893951#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.115","http://www.openannotation.org/ns/Annotation"
"Row71","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#74","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.115","http://pleiades.stoa.org/places/893951#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.115","http://www.openannotation.org/ns/Annotation"
